iter	F1	Logloss
0	0.008233532934	0.6067121681
1	0	0.555473007
2	0	0.5237302042
3	0	0.5027633895
4	0	0.4896557688
5	0	0.4813516791
6	0	0.474990089
7	0	0.4723479938
8	0.000754147813	0.4683082739
9	0.004514672686	0.464959394
10	0.005257228689	0.4625347947
11	0.006754221388	0.4602770842
12	0.008248968879	0.4587808485
13	0.009741476208	0.4570508181
14	0.01121495327	0.455362386
15	0.0171641791	0.4544660646
16	0.02010424423	0.4538865206
17	0.02595476455	0.4525069211
18	0.0266864344	0.4516921626
19	0.02741756206	0.4504935809
20	0.03033666297	0.4491734759
21	0.03608247423	0.4484327278
22	0.03964757709	0.4479777008
23	0.04033736707	0.4469823437
24	0.04250641261	0.445956189
25	0.04105571848	0.4456720478
26	0.04105571848	0.4448223028
27	0.04460694698	0.443875721
28	0.05939876856	0.4431836585
29	0.06005788712	0.4427171268
30	0.06150506512	0.4420362577
31	0.06493506494	0.4416705732
32	0.07725321888	0.4410124115
33	0.07928571429	0.4402254587
34	0.07854337737	0.4398442284
35	0.07791279485	0.4390068823
36	0.08125445474	0.4387116109
37	0.08265051657	0.4383064849
38	0.08122550766	0.4378681548
39	0.08457711443	0.4369688801
40	0.08843296781	0.4362675111
41	0.09174311927	0.4359022073
42	0.09644491376	0.4353482166
43	0.1069556099	0.4347915705
44	0.1109173352	0.4343387076
45	0.1147826087	0.4334966087
46	0.1135888502	0.4327305239
47	0.1168289291	0.4322404715
48	0.1190393317	0.4319782645
49	0.1210013908	0.4312648391
50	0.125563649	0.4308276008
51	0.1261261261	0.430096214
52	0.1294117647	0.4298137955
53	0.1287642783	0.4294380725
54	0.1319516408	0.4287313707
55	0.1306602143	0.4281557276
56	0.1355815554	0.4274895971
57	0.1355815554	0.4272247658
58	0.1349862259	0.4270995873
59	0.1349862259	0.4267199147
60	0.1394709722	0.426239328
61	0.1431997259	0.4260075807
62	0.1432488005	0.4257529014
63	0.1463247863	0.4254001783
64	0.1464249059	0.4248152756
65	0.1470588235	0.4247204176
66	0.1460750853	0.4243326175
67	0.1448087432	0.4239510544
68	0.1460252474	0.4236921223
69	0.1498637602	0.4230098736
70	0.1492842536	0.4227996774
71	0.156143924	0.4222477472
72	0.1592680447	0.4216752752
73	0.1631133672	0.4212552933
74	0.1617050068	0.4208708211
75	0.1622718053	0.4202657904
76	0.1671722278	0.4197358865
77	0.1702557201	0.4191716314
78	0.1740591398	0.4186130189
79	0.1777330651	0.4181030769
80	0.1795043537	0.4176476445
81	0.1801138266	0.4174704261
82	0.1840613538	0.4166150848
83	0.1847898599	0.4163594677
84	0.1832111925	0.4162009479
85	0.1844821845	0.4159546113
86	0.1833333333	0.4157638754
87	0.1827885257	0.4153882168
88	0.1871461871	0.4150450649
89	0.1864801865	0.4146744382
90	0.1887043189	0.4142662982
91	0.1899070385	0.4137235422
92	0.1923076923	0.4133961712
93	0.1970899471	0.4129506384
94	0.19542895	0.4125887837
95	0.1964285714	0.412120058
96	0.1964285714	0.4116803767
97	0.1964935495	0.4113758592
98	0.1982160555	0.4112489931
99	0.1984126984	0.410870135
