iter	Passed	Remaining
0	54	5380
1	60	2963
2	66	2151
3	72	1737
4	78	1487
5	84	1322
6	90	1208
7	96	1114
8	102	1038
9	108	980
10	117	947
11	123	903
12	129	866
13	135	834
14	141	802
15	147	775
16	153	751
17	159	728
18	165	707
19	171	687
20	177	669
21	183	651
22	189	635
23	195	620
24	202	606
25	208	592
26	213	578
27	220	566
28	226	553
29	231	541
30	238	529
31	243	518
32	249	507
33	255	496
34	261	486
35	267	475
36	273	465
37	279	456
38	285	446
39	293	440
40	302	435
41	308	426
42	314	417
43	320	407
44	326	399
45	332	390
46	338	381
47	343	372
48	349	364
49	355	355
50	361	347
51	367	339
52	373	331
53	379	323
54	385	315
55	394	310
56	401	302
57	406	294
58	415	289
59	424	283
60	434	277
61	440	270
62	446	262
63	452	254
64	458	246
65	464	239
66	470	231
67	475	223
68	482	216
69	488	209
70	493	201
71	499	194
72	505	187
73	511	179
74	522	174
75	528	166
76	534	159
77	540	152
78	545	145
79	552	138
80	566	132
81	572	125
82	578	118
83	584	111
84	590	104
85	596	97
86	604	90
87	610	83
88	616	76
89	622	69
90	628	62
91	634	55
92	640	48
93	645	41
94	651	34
95	657	27
96	663	20
97	669	13
98	675	6
99	680	0
